Proposed IATIPlus Fields
TagNarrativeText
TagNarrative_Lang
CountryBudgetItems
CountryBudgetItems_Vocabulary
CountryBudgetItemsBudgetItem
CountryBudgetItemsBudgetItem_Code
CountryBudgetItemsBudgetItem_Percentage
CountryBudgetItemsBudgetItemDescription
CountryBudgetItemsBudgetItemDescriptionNarrative
CountryBudgetItemsBudgetItemDescriptionNarrativeText
CountryBudgetItemsBudgetItemDescriptionNarrative_Lang
HumanitarianScope
HumanitarianScope_Type
HumanitarianScope_Vocabulary
HumanitarianScope_VocabularyUri
HumanitarianScope_Code
HumanitarianScopeNarrative
HumanitarianScopeNarrativeText
HumanitarianScopeNarrative_Lang
PolicyMarker
PolicyMarker_Vocabulary
PolicyMarker_VocabularyUri
PolicyMarker_Code
PolicyMarker_Significance
PolicyMarkerNarrative
PolicyMarkerNarrativeText
PolicyMarkerNarrative_Lang
CollaborationType
CollaborationType_Code
DefaultFlowType
DefaultFlowType_Code
DefaultFinanceType
DefaultFinanceType_Code
DefaultAidType
DefaultAidType_Code
DefaultAidType_Vocabulary
DefaultTiedStatus
DefaultTiedStatus_Code
Budget
Budget_Type
Budget_Status
BudgetPeriodStart
BudgetPeriodStart_IsoDate
BudgetPeriodEnd
BudgetPeriodEnd_IsoDate
BudgetValue
BudgetValue_Currency
BudgetValue_ValueDate
PlannedDisbursement
PlannedDisbursement_Type
PlannedDisbursementPeriodStart
PlannedDisbursementPeriodStart_IsoDate
PlannedDisbursementPeriodEnd
PlannedDisbursementPeriodEnd_IsoDate
PlannedDisbursementValue
PlannedDisbursementValue_Currency
PlannedDisbursementValue_ValueDate
PlannedDisbursementProviderOrg
PlannedDisbursementProviderOrg_Ref
PlannedDisbursementProviderOrg_ProviderActivityId
PlannedDisbursementProviderOrg_Type
PlannedDisbursementProviderOrgNarrative
PlannedDisbursementProviderOrgNarrativeText
PlannedDisbursementProviderOrgNarrative_Lang
PlannedDisbursementReceiverOrg
PlannedDisbursementReceiverOrg_Ref
PlannedDisbursementReceiverOrg_ReceiverActivityId
PlannedDisbursementReceiverOrg_Type
PlannedDisbursementReceiverOrgNarrative
PlannedDisbursementReceiverOrgNarrativeText
PlannedDisbursementReceiverOrgNarrative_Lang
CapitalSpend
CapitalSpend_Percentage
Transaction
Transaction_Ref
Transaction_Humanitarian
TransactionTransactionType
TransactionTransactionType_Code
TransactionTransactionDate
TransactionTransactionDate_IsoDate
TransactionValue
TransactionValue_Currency
TransactionValue_ValueDate
TransactionDescription
TransactionDescriptionNarrative
TransactionDescriptionNarrativeText
TransactionDescriptionNarrative_Lang
TransactionProviderOrg
TransactionProviderOrg_Ref
TransactionProviderOrg_ProviderActivityId
TransactionProviderOrg_Type
TransactionProviderOrgNarrative
TransactionProviderOrgNarrativeText
TransactionProviderOrgNarrative_Lang
TransactionReceiverOrg
TransactionReceiverOrg_Ref
TransactionReceiverOrg_ReceiverActivityId
TransactionReceiverOrg_Type
TransactionReceiverOrgNarrative
TransactionReceiverOrgNarrativeText
TransactionReceiverOrgNarrative_Lang
TransactionDisbursementChannel
TransactionDisbursementChannel_Code
TransactionSector
TransactionSector_Vocabulary
TransactionSector_VocabularyUri
TransactionSector_Code
TransactionSectorNarrative
TransactionSectorNarrativeText
TransactionSectorNarrative_Lang
TransactionRecipientCountry
TransactionRecipientCountry_Code
TransactionRecipientCountryNarrative
TransactionRecipientCountryNarrativeText
TransactionRecipientCountryNarrative_Lang
TransactionRecipientRegion
TransactionRecipientRegion_Code
TransactionRecipientRegion_Vocabulary
TransactionRecipientRegion_VocabularyUri
TransactionRecipientRegionNarrative
TransactionRecipientRegionNarrativeText
TransactionRecipientRegionNarrative_Lang
TransactionFlowType
TransactionFlowType_Code
TransactionFinanceType
TransactionFinanceType_Code
TransactionAidType
TransactionAidType_Code
TransactionAidType_Vocabulary
TransactionTiedStatus
TransactionTiedStatus_Code
DocumentLink
DocumentLink_Url
DocumentLink_Format
DocumentLinkTitle
DocumentLinkTitleNarrative
DocumentLinkTitleNarrativeText
DocumentLinkTitleNarrative_Lang
DocumentLinkDescription
DocumentLinkDescriptionNarrative
DocumentLinkDescriptionNarrativeText
DocumentLinkDescriptionNarrative_Lang
DocumentLinkCategory
DocumentLinkCategory_Code
DocumentLinkLanguage
DocumentLinkLanguage_Code
DocumentLinkDocumentDate
DocumentLinkDocumentDate_IsoDate
RelatedActivity
RelatedActivity_Ref
RelatedActivity_Type
LegacyData
LegacyData_Name
LegacyData_Value
LegacyData_IatiEquivalent
Conditions
Conditions_Attached
ConditionsCondition
ConditionsCondition_Type
ConditionsConditionNarrative
ConditionsConditionNarrativeText
ConditionsConditionNarrative_Lang
Result
Result_Type
Result_AggregationStatus
ResultTitle
ResultTitleNarrative
ResultTitleNarrativeText
ResultTitleNarrative_Lang
ResultDescription
ResultDescriptionNarrative
ResultDescriptionNarrativeText
ResultDescriptionNarrative_Lang
ResultDocumentLink
ResultDocumentLink_Url
ResultDocumentLink_Format
ResultDocumentLinkTitle
ResultDocumentLinkTitleNarrative
ResultDocumentLinkTitleNarrativeText
ResultDocumentLinkTitleNarrative_Lang
ResultDocumentLinkDescription
ResultDocumentLinkDescriptionNarrative
ResultDocumentLinkDescriptionNarrativeText
ResultDocumentLinkDescriptionNarrative_Lang
ResultDocumentLinkCategory
ResultDocumentLinkCategory_Code
ResultDocumentLinkLanguage
ResultDocumentLinkLanguage_Code
ResultDocumentLinkDocumentDate
ResultDocumentLinkDocumentDate_IsoDate
ResultReference
ResultReference_Code
ResultReference_Vocabulary
ResultReference_VocabularyUri
ResultIndicator
ResultIndicator_Measure
ResultIndicator_Ascending
ResultIndicator_AggregationStatus
ResultIndicatorTitle
ResultIndicatorTitleNarrative
ResultIndicatorTitleNarrativeText
ResultIndicatorTitleNarrative_Lang
ResultIndicatorDescription
ResultIndicatorDescriptionNarrative
ResultIndicatorDescriptionNarrativeText
ResultIndicatorDescriptionNarrative_Lang
ResultIndicatorDocumentLink
ResultIndicatorDocumentLink_Url
ResultIndicatorDocumentLink_Format
ResultIndicatorDocumentLinkTitle
ResultIndicatorDocumentLinkTitleNarrative
ResultIndicatorDocumentLinkTitleNarrativeText
ResultIndicatorDocumentLinkTitleNarrative_Lang
ResultIndicatorDocumentLinkDescription
ResultIndicatorDocumentLinkDescriptionNarrative
ResultIndicatorDocumentLinkDescriptionNarrativeText
ResultIndicatorDocumentLinkDescriptionNarrative_Lang
ResultIndicatorDocumentLinkCategory
ResultIndicatorDocumentLinkCategory_Code
ResultIndicatorDocumentLinkLanguage
ResultIndicatorDocumentLinkLanguage_Code
ResultIndicatorDocumentLinkDocumentDate
ResultIndicatorDocumentLinkDocumentDate_IsoDate
ResultIndicatorReference
ResultIndicatorReference_Vocabulary
ResultIndicatorReference_Code
ResultIndicatorReference_IndicatorUri
ResultIndicatorBaseline
ResultIndicatorBaseline_IsoDate
ResultIndicatorBaseline_Year
ResultIndicatorBaseline_Value
ResultIndicatorBaselineLocation
ResultIndicatorBaselineLocation_Ref
ResultIndicatorBaselineDimension
ResultIndicatorBaselineDimension_Name
ResultIndicatorBaselineDimension_Value
ResultIndicatorBaselineDocumentLink
ResultIndicatorBaselineDocumentLink_Url
ResultIndicatorBaselineDocumentLink_Format
ResultIndicatorBaselineDocumentLinkTitle
ResultIndicatorBaselineDocumentLinkTitleNarrative
ResultIndicatorBaselineDocumentLinkTitleNarrativeText
ResultIndicatorBaselineDocumentLinkTitleNarrative_Lang
ResultIndicatorBaselineDocumentLinkDescription
ResultIndicatorBaselineDocumentLinkDescriptionNarrative
ResultIndicatorBaselineDocumentLinkDescriptionNarrativeText
ResultIndicatorBaselineDocumentLinkDescriptionNarrative_Lang
ResultIndicatorBaselineDocumentLinkCategory
ResultIndicatorBaselineDocumentLinkCategory_Code
ResultIndicatorBaselineDocumentLinkLanguage
ResultIndicatorBaselineDocumentLinkLanguage_Code
ResultIndicatorBaselineDocumentLinkDocumentDate
ResultIndicatorBaselineDocumentLinkDocumentDate_IsoDate
ResultIndicatorBaselineComment
ResultIndicatorBaselineCommentNarrative
ResultIndicatorBaselineCommentNarrativeText
ResultIndicatorBaselineCommentNarrative_Lang
ResultIndicatorPeriod
ResultIndicatorPeriodPeriodStart
ResultIndicatorPeriodPeriodStart_IsoDate
ResultIndicatorPeriodPeriodEnd
ResultIndicatorPeriodPeriodEnd_IsoDate
ResultIndicatorPeriodTarget
ResultIndicatorPeriodTarget_Value
ResultIndicatorPeriodTargetLocation
ResultIndicatorPeriodTargetLocation_Ref
ResultIndicatorPeriodTargetDimension
ResultIndicatorPeriodTargetDimension_Name
ResultIndicatorPeriodTargetDimension_Value
ResultIndicatorPeriodTargetComment
ResultIndicatorPeriodTargetCommentNarrative
ResultIndicatorPeriodTargetCommentNarrativeText
ResultIndicatorPeriodTargetCommentNarrative_Lang
ResultIndicatorPeriodTargetDocumentLink
ResultIndicatorPeriodTargetDocumentLink_Url
ResultIndicatorPeriodTargetDocumentLink_Format
ResultIndicatorPeriodTargetDocumentLinkTitle
ResultIndicatorPeriodTargetDocumentLinkTitleNarrative
ResultIndicatorPeriodTargetDocumentLinkTitleNarrativeText
ResultIndicatorPeriodTargetDocumentLinkTitleNarrative_Lang
ResultIndicatorPeriodTargetDocumentLinkDescription
ResultIndicatorPeriodTargetDocumentLinkDescriptionNarrative
ResultIndicatorPeriodTargetDocumentLinkDescriptionNarrativeText
ResultIndicatorPeriodTargetDocumentLinkDescriptionNarrative_Lang
ResultIndicatorPeriodTargetDocumentLinkCategory
ResultIndicatorPeriodTargetDocumentLinkCategory_Code
ResultIndicatorPeriodTargetDocumentLinkLanguage
ResultIndicatorPeriodTargetDocumentLinkLanguage_Code
ResultIndicatorPeriodTargetDocumentLinkDocumentDate
ResultIndicatorPeriodTargetDocumentLinkDocumentDate_IsoDate
ResultIndicatorPeriodActual
ResultIndicatorPeriodActual_Value
ResultIndicatorPeriodActualLocation
ResultIndicatorPeriodActualLocation_Ref
ResultIndicatorPeriodActualDimension
ResultIndicatorPeriodActualDimension_Name
ResultIndicatorPeriodActualDimension_Value
ResultIndicatorPeriodActualComment
ResultIndicatorPeriodActualCommentNarrative
ResultIndicatorPeriodActualCommentNarrativeText
ResultIndicatorPeriodActualCommentNarrative_Lang
ResultIndicatorPeriodActualDocumentLink
ResultIndicatorPeriodActualDocumentLink_Url
ResultIndicatorPeriodActualDocumentLink_Format
ResultIndicatorPeriodActualDocumentLinkTitle
ResultIndicatorPeriodActualDocumentLinkTitleNarrative
ResultIndicatorPeriodActualDocumentLinkTitleNarrativeText
ResultIndicatorPeriodActualDocumentLinkTitleNarrative_Lang
ResultIndicatorPeriodActualDocumentLinkDescription
ResultIndicatorPeriodActualDocumentLinkDescriptionNarrative
ResultIndicatorPeriodActualDocumentLinkDescriptionNarrativeText
ResultIndicatorPeriodActualDocumentLinkDescriptionNarrative_Lang
ResultIndicatorPeriodActualDocumentLinkCategory
ResultIndicatorPeriodActualDocumentLinkCategory_Code
ResultIndicatorPeriodActualDocumentLinkLanguage
ResultIndicatorPeriodActualDocumentLinkLanguage_Code
ResultIndicatorPeriodActualDocumentLinkDocumentDate
ResultIndicatorPeriodActualDocumentLinkDocumentDate_IsoDate
CrsAdd
CrsAddOtherFlags
CrsAddOtherFlags_Code
CrsAddOtherFlags_Significance
CrsAddLoanTerms
CrsAddLoanTerms_Rate1
CrsAddLoanTerms_Rate2
CrsAddLoanTermsRepaymentType
CrsAddLoanTermsRepaymentType_Code
CrsAddLoanTermsRepaymentPlan
CrsAddLoanTermsRepaymentPlan_Code
CrsAddLoanTermsCommitmentDate
CrsAddLoanTermsCommitmentDate_IsoDate
CrsAddLoanTermsRepaymentFirstDate
CrsAddLoanTermsRepaymentFirstDate_IsoDate
CrsAddLoanTermsRepaymentFinalDate
CrsAddLoanTermsRepaymentFinalDate_IsoDate
CrsAddLoanStatus
CrsAddLoanStatus_Year
CrsAddLoanStatus_Currency
CrsAddLoanStatus_ValueDate
CrsAddLoanStatusInterestReceived
CrsAddLoanStatusPrincipalOutstanding
CrsAddLoanStatusPrincipalArrears
CrsAddLoanStatusInterestArrears
CrsAddChannelCode
Fss
Fss_ExtractionDate
Fss_Priority
Fss_PhaseoutYear
FssForecast
FssForecastText
FssForecast_Year
FssForecast_Currency
FssForecast_ValueDate
